review_id,decision,basis,generator_enabled,usage_class,district_pool,season_pool,selection_weight,category,role,pack,asset_name,asset_class,object_path,source_score,notes
M0018,RESERVE,AUTO_POLICY,false,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_6_C,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_6_C.SM_Fence_6_C,40,Kept as deterministic reserve for visual variety or district-specific dressing.
M0019,RESERVE,AUTO_POLICY,false,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_7,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_7.SM_Fence_7,40,Kept as deterministic reserve for visual variety or district-specific dressing.
M0020,RESERVE,AUTO_POLICY,false,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_8_A,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_8_A.SM_Fence_8_A,40,Kept as deterministic reserve for visual variety or district-specific dressing.
M0021,RESERVE,AUTO_POLICY,false,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_8_B,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_8_B.SM_Fence_8_B,40,Kept as deterministic reserve for visual variety or district-specific dressing.
M0022,RESERVE,AUTO_POLICY,false,GAMEPLAY_OBSTACLE,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,barrier_fence,BARRIER_FENCE,Street_Props_Pack_V1,SM_Fence_8_C,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Fence_8_C.SM_Fence_8_C,40,Kept as deterministic reserve for visual variety or district-specific dressing.
M0023,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_PROP,Street_Props_Pack_V1,SM_Bench,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Bench.SM_Bench,40,Bench selected visually.
M0024,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_PROP,Street_Props_Pack_V1,SM_Bench_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Bench_2.SM_Bench_2,40,Bench variant selected visually.
M0025,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_1,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_1.SM_Sign_1,40,Street sign selected visually.
M0026,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_2.SM_Sign_2,40,Street sign selected visually.
M0027,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_3,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_3.SM_Sign_3,40,Street sign selected visually.
M0028,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_4,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_4.SM_Sign_4,40,Street sign selected visually.
M0029,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_5,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_5.SM_Sign_5,40,Street sign selected visually.
M0030,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_6,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_6.SM_Sign_6,40,Street sign selected visually.
M0031,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_7,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_7.SM_Sign_7,40,Street sign selected visually.
M0032,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_8,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_8.SM_Sign_8,40,Street sign selected visually.
M0033,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.04,street_prop,STREET_SIGN,Street_Props_Pack_V1,SM_Sign_9,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Sign_9.SM_Sign_9,40,Street sign selected visually.
M0034,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.03,street_prop,BICYCLE_STAND,Street_Props_Pack_V1,SM_Bicycle_stand_1,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Bicycle_stand_1.SM_Bicycle_stand_1,32,Bicycle stand selected visually.
M0035,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.03,street_prop,BICYCLE_STAND,Street_Props_Pack_V1,SM_Bicycle_stand_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Bicycle_stand_2.SM_Bicycle_stand_2,32,Bicycle stand variant selected visually.
M0036,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.03,street_prop,BUS_STOP,Street_Props_Pack_V1,SM_Bus_stop,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Bus_stop.SM_Bus_stop,32,Bus stop selected visually.
M0037,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.03,street_prop,BUS_STOP,Street_Props_Pack_V1,SM_Bus_Stop_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Bus_Stop_2.SM_Bus_Stop_2,32,Bus stop variant selected visually.
M0038,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,FLOWER_POT,Street_Props_Pack_V1,SM_Flower_Pot,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Flower_Pot.SM_Flower_Pot,32,Secondary dressing only.
M0039,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,FLOWER_POT,Street_Props_Pack_V1,SM_Flower_Pot_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Flower_Pot_2.SM_Flower_Pot_2,32,Secondary dressing only.
M0040,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,FLOWER_POT,Street_Props_Pack_V1,SM_Flower_Pot_3,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Flower_Pot_3.SM_Flower_Pot_3,32,Secondary dressing only.
M0041,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,FLOWER_POT,Street_Props_Pack_V1,SM_Flower_Pot_4,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Flower_Pot_4.SM_Flower_Pot_4,32,Secondary dressing only.
M0042,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,LANTERN,Street_Props_Pack_V1,SM_Lantern_1,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Lantern_1.SM_Lantern_1,32,Atmospheric secondary dressing.
M0043,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.03,street_prop,PALLET,Street_Props_Pack_V1,SM_Pallet,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Pallet.SM_Pallet,32,Useful urban clutter and gameplay dressing.
M0044,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,PIER,Street_Props_Pack_V1,SM_Pier,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Pier.SM_Pier,32,Use only for waterfront-specific dressing.
M0045,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,PIER,Street_Props_Pack_V1,SM_Pier_2,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Pier_2.SM_Pier_2,32,Use only for waterfront-specific dressing.
M0046,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,PIER,Street_Props_Pack_V1,SM_Pier_3,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Pier_3.SM_Pier_3,32,Use only for waterfront-specific dressing.
M0047,RESERVE,VISUAL,false,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,street_prop,PIER,Street_Props_Pack_V1,SM_Pier_4,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Pier_4.SM_Pier_4,32,Use only for waterfront-specific dressing.
M0048,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.03,street_prop,PYLON,Street_Props_Pack_V1,SM_Pylons,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Pylons.SM_Pylons,32,Useful traffic-control prop.
M0049,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.03,street_prop,SPEED_BUMP,Street_Props_Pack_V1,SM_Speed_Bumber,StaticMesh,/Game/Street_Props_Pack_V1/Mesh/SM_Speed_Bumber.SM_Speed_Bumber,32,Useful road gameplay/environment prop.
M0050,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.02,street_prop,STREET_LAMP,CitySampleBuildings,SM_BLDG_Prop_Lamp_CHA_A01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Prop_CHA/Mesh/SM_BLDG_Prop_Lamp_CHA_A01_N1.SM_BLDG_Prop_Lamp_CHA_A01_N1,22,Strong urban lighting landmark.
M0051,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.02,street_prop,STREET_SIGN,CitySampleBuildings,SM_PROP_NYA_A_Sign_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/NY/A/Kit_PROP_NYA/Mesh/SM_PROP_NYA_A_Sign_01_N1.SM_PROP_NYA_A_Sign_01_N1,22,City Sample sign selected visually.
M0052,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.02,street_prop,STREET_SIGN,CitySampleBuildings,SM_PROP_NYA_A_Sign_02_N1,StaticMesh,/Game/CitySampleBuildings/Building/NY/A/Kit_PROP_NYA/Mesh/SM_PROP_NYA_A_Sign_02_N1.SM_PROP_NYA_A_Sign_02_N1,22,City Sample sign selected visually.
M0053,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.02,street_prop,STREET_SIGN,CitySampleBuildings,SM_PROP_NYA_A_Sign_03_N1,StaticMesh,/Game/CitySampleBuildings/Building/NY/A/Kit_PROP_NYA/Mesh/SM_PROP_NYA_A_Sign_03_N1.SM_PROP_NYA_A_Sign_03_N1,22,City Sample sign selected visually.
M0054,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.02,street_prop,STREET_SIGN,CitySampleBuildings,SM_PROP_NYA_A_Sign_04_N1,StaticMesh,/Game/CitySampleBuildings/Building/NY/A/Kit_PROP_NYA/Mesh/SM_PROP_NYA_A_Sign_04_N1.SM_PROP_NYA_A_Sign_04_N1,22,City Sample sign selected visually.
M0055,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.02,street_prop,STREET_SIGN,CitySampleBuildings,SM_PROP_NYA_A_Sign_05_N1,StaticMesh,/Game/CitySampleBuildings/Building/NY/A/Kit_PROP_NYA/Mesh/SM_PROP_NYA_A_Sign_05_N1.SM_PROP_NYA_A_Sign_05_N1,22,City Sample sign selected visually.
M0056,APPROVED,VISUAL,true,STREET_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,1.02,street_prop,STREET_LAMP,CitySampleBuildings,SM_BLDG_Prop_Lamp_SFB_A01,StaticMesh,/Game/CitySampleBuildings/Building/SF/B/Kit_Prop_SFB/Mesh/SM_BLDG_Prop_Lamp_SFB_A01.SM_BLDG_Prop_Lamp_SFB_A01,22,Strong urban lighting landmark.
M0057,APPROVED,AUTO_POLICY,true,DESTRUCTION_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.90,debris_rubble,DEBRIS_RUBBLE,Scene_UnfinishedBuilding,SM_Ind_Rub_Debris_Concrete_Broken_01,StaticMesh,/Game/Scene_UnfinishedBuilding/Assets/Megascans/3D_Assets/Ind_Rub_Debris_Concrete_Broken_01/SM_Ind_Rub_Debris_Concrete_Broken_01.SM_Ind_Rub_Debris_Concrete_Broken_01,50,Selected by deterministic production policy: high source score and variant-family diversity.
M0058,APPROVED,AUTO_POLICY,true,DESTRUCTION_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.90,debris_rubble,DEBRIS_RUBBLE,Scene_UnfinishedBuilding,SM_Ind_Rub_Debris_Concrete_Broken_02,StaticMesh,/Game/Scene_UnfinishedBuilding/Assets/Megascans/3D_Assets/Ind_Rub_Debris_Concrete_Broken_02/SM_Ind_Rub_Debris_Concrete_Broken_02.SM_Ind_Rub_Debris_Concrete_Broken_02,50,Selected by deterministic production policy: high source score and variant-family diversity.
M0059,APPROVED,AUTO_POLICY,true,DESTRUCTION_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.90,debris_rubble,DEBRIS_RUBBLE,Scene_UnfinishedBuilding,SM_Ind_Rub_Debris_Concrete_Broken_03,StaticMesh,/Game/Scene_UnfinishedBuilding/Assets/Megascans/3D_Assets/Ind_Rub_Debris_Concrete_Broken_03/SM_Ind_Rub_Debris_Concrete_Broken_03.SM_Ind_Rub_Debris_Concrete_Broken_03,50,Selected by deterministic production policy: high source score and variant-family diversity.
M0060,APPROVED,AUTO_POLICY,true,DESTRUCTION_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.90,debris_rubble,DEBRIS_RUBBLE,Scene_UnfinishedBuilding,SM_Ind_Rub_Debris_Concrete_Broken_04,StaticMesh,/Game/Scene_UnfinishedBuilding/Assets/Megascans/3D_Assets/Ind_Rub_Debris_Concrete_Broken_04/SM_Ind_Rub_Debris_Concrete_Broken_04.SM_Ind_Rub_Debris_Concrete_Broken_04,50,Selected by deterministic production policy: high source score and variant-family diversity.
M0061,RESERVE,AUTO_POLICY,false,DESTRUCTION_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,debris_rubble,DEBRIS_RUBBLE,Scene_UnfinishedBuilding,SM_Ind_Rub_Debris_Concrete_Broken_05,StaticMesh,/Game/Scene_UnfinishedBuilding/Assets/Megascans/3D_Assets/Ind_Rub_Debris_Concrete_Broken_05/SM_Ind_Rub_Debris_Concrete_Broken_05.SM_Ind_Rub_Debris_Concrete_Broken_05,50,Kept as deterministic reserve for visual variety or district-specific dressing.
M0062,RESERVE,AUTO_POLICY,false,DESTRUCTION_DRESSING,HUB;SPRING;SUMMER;AUTUMN;WINTER,SPRING;SUMMER;AUTUMN;WINTER,0.35,debris_rubble,DEBRIS_RUBBLE,Scene_UnfinishedBuilding,SM_Ind_Rub_Debris_Concrete_Broken_06,StaticMesh,/Game/Scene_UnfinishedBuilding/Assets/Megascans/3D_Assets/Ind_Rub_Debris_Concrete_Broken_06/SM_Ind_Rub_Debris_Concrete_Broken_06.SM_Ind_Rub_Debris_Concrete_Broken_06,50,Kept as deterministic reserve for visual variety or district-specific dressing.
